time,up_speed,down_speed
23:21:08,1804,1024
23:21:09,202,1024
23:21:10,344,1024
23:21:12,1548,1024
23:21:13,128,10854
23:21:14,4366,16852
23:21:15,2996,1107
23:21:16,216,108
23:21:17,43144,2106525
23:21:18,67365,4321952
23:21:19,62038,3297467
23:21:20,58434,3201102
23:21:21,53867,2796545
23:21:22,52256,3007285
23:21:23,59659,2882527
23:21:24,48806,2398893
23:21:25,54412,2350092
23:21:26,52450,3041493
23:21:27,44970,2200603
23:21:28,60004,3692217
23:21:29,47002,2481852
23:21:30,59473,3848564
23:21:31,43582,2592868
23:21:32,81428,5327778
23:21:33,24722,1619888
23:21:34,0,0
23:21:35,68,0
23:21:36,0,0
23:21:37,0,0
23:21:38,68,0
23:21:39,0,0
23:21:40,0,0
23:21:41,68,0
23:21:42,0,0
23:21:43,0,0
23:21:44,1120,369
23:21:45,176,123
23:21:46,0,0
23:21:47,134,66
23:21:48,0,0
23:21:49,0,0
23:21:51,68,0
23:21:52,0,0
23:21:53,0,0
23:21:54,68,0
23:21:55,314,320
23:21:56,0,0
23:21:57,68,0
23:21:58,0,0
23:21:59,0,0
23:22:00,0,0
23:22:01,68,0
23:22:02,68,0
23:22:03,0,0
23:22:04,0,0
23:22:05,68,0
23:22:06,1134,547
23:22:07,1120,369
23:22:08,5727,1024
23:22:09,54,0
